County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Citrus,2018-02-01 00:00:00,MNW18021,M,269,Kings Bay,Crystal River,Natural: Other
Levy,2018-02-01 00:00:00,MNW18026,M,202,Black Point Swamp,Cedar Key,Natural: Cold Stress
Broward,2018-02-01 00:00:00,MSE18024,U,275,Port Everglades,Ft. Lauderdale,Human Related: Watercraft Collision
Brevard,2018-02-02 00:00:00,MEC18013,F,280,Indian River,Port St. John,Human Related: Other
Brevard,2018-02-02 00:00:00,MEC18014,M,209,Eau Gallie River,Melbourne,Natural: Cold Stress
Miami-Dade,2018-02-02 00:00:00,MSE18025,F,286,Miami River,Miami,Undetermined: Other
Broward,2018-02-02 00:00:00,MSE18026,M,310,South Fork New River,Ft. Lauderdale,Undetermined: Other
Miami-Dade,2018-02-02 00:00:00,MSE18028,M,198,Miami River,Miami,Undetermined: Other
Brevard,2018-02-03 00:00:00,MEC18015,F,178,Indian River,Cocoa,Natural: Cold Stress
Volusia,2018-02-04 00:00:00,MNE18013,F,165,Halifax River,Port Orange,Verified: Not Recovered
Hillsborough,2018-02-05 00:00:00,MNW18022,F,345,Old Tampa Bay,Tampa,Undetermined: Too Decomposed
Pasco,2018-02-05 00:00:00,MNW18023,M,189,Gulf of Mexico,New Port Richey,Natural: Cold Stress
Broward,2018-02-05 00:00:00,MSE18029,F,255,Atlantic Ocean,Ft. Lauderdale,Undetermined: Too Decomposed
Martin,2018-02-05 00:00:00,MSE18030,M,287,Peck Lake,Port Salerno,Natural: Cold Stress
Monroe,2018-02-05 00:00:00,MSW18032,M,263,Buttonwood Canal,Flamingo,Natural: Cold Stress
Glades,2018-02-05 00:00:00,MSW18033,F,278,Caloosahatchee River,Moore Haven,Undetermined: Too Decomposed
Brevard,2018-02-06 00:00:00,MEC18016,F,176,Indian River,Titusville,Natural: Cold Stress
Escambia,2018-02-06 00:00:00,MNW18024,M,256,Big Lagoon,Pensacola Beach,Natural: Cold Stress
Broward,2018-02-06 00:00:00,MSE18031,M,310,Port Everglades,Ft. Lauderdale,Human Related: Watercraft Collision
Miami-Dade,2018-02-06 00:00:00,MSE18032,F,195,Biscayne Bay,North Miami,Natural: Other
Charlotte,2018-02-06 00:00:00,MSW18035,M,217,Peace River,Punta Gorda,Natural: Other
Brevard,2018-02-07 00:00:00,MEC18017,M,272,Banana River,Merritt Island,Undetermined: Too Decomposed
Brevard,2018-02-07 00:00:00,MEC18018,U,250,Banana River,Cape Canaveral,Verified: Not Recovered
Pinellas,2018-02-07 00:00:00,MNW18025,M,215,Tampa Bay,St. Petersburg,Undetermined: Too Decomposed
Citrus,2018-02-08 00:00:00,MNW18027,M,266,Halls River,Homosassa,Human Related: Watercraft Collision
Miami-Dade,2018-02-08 00:00:00,MSE18033,M,263,Palmer Lake,Miami,Undetermined: Too Decomposed
Lee,2018-02-08 00:00:00,MSW18036,M,195,Matlacha Pass,Cape Coral,Natural: Cold Stress
Okaloosa,2018-02-09 00:00:00,MNW18028,M,296,Ft. Walton Beach,Santa Rosa Sound,Natural: Cold Stress
Monroe,2018-02-09 00:00:00,MSW18037,U,215,Roberts River,Flamingo,Verified: Not Recovered
Brevard,2018-02-10 00:00:00,MEC18019,F,205,Indian River,Cocoa,Undetermined: Too Decomposed
Putnam,2018-02-10 00:00:00,MNE18014,F,255,St. Johns River,Palatka,Natural: Cold Stress
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Citrus,2018-02-10 00:00:00,SWFTm1809b,F,275,Kings Bay,Crystal River,Human Related: Watercraft Collision
Brevard,2018-02-11 00:00:00,MEC18020,F,231,Banana River,Cocoa Beach,Human Related: Other
Hillsborough,2018-02-11 00:00:00,MNW18029,F,116,Hillsborough Bay,Tampa,Perinatal (<= 150 cm)
Charlotte,2018-02-11 00:00:00,MSW18038,F,267,Charlotte Harbor,Punta Gorda,Natural: Other
Duval,2018-02-12 00:00:00,MNE18015,M,231,Sawpit Creek,Jacksonville,Natural: Other
Duval,2018-02-12 00:00:00,MNE18016,F,247,St. Johns River,Jacksonville,Natural: Cold Stress
Franklin,2018-02-14 00:00:00,MNW18030,M,215,Carrabelle River,Carrabelle,Natural: Cold Stress
Hillsborough,2018-02-15 00:00:00,MNW18031,F,249,Tampa Bay,Ruskin,Human Related: Watercraft Collision
Brevard,2018-02-16 00:00:00,MEC18021,M,200,Indian River,Melbourne Beach,Undetermined: Too Decomposed
